Group_ID,Light_Treatment_Population_white_eyed_Female,Light_Treatment_Population_wild_type_Female,Light_Treatment_Population_white_eyed_Male,Light_Treatment_Population_wild_type_Male,Light_Treatment_Frequency_for_white_eyed_Allele,Dark_Treatment_Population_white_eyed_Female,Dark_Treatment_Population_wild_type_Female,Dark_Treatment_Population_white_eyed_Male,Dark_Treatment_Population_wild_type_Male,Dark_Treatment_Frequency_for_white_eyed_Allele,Reporting_Year,Chron Order
F20_13,0,18,10,13,0.43,3,17,8,12,0.40,F20,1
F20_15,1,20,10,9,0.53,0,19,0,20,0.00,F20,5
F20_17,0,22,0,18,0.00,0,22,0,18,0.00,F20,2
F20_19,4,16,8,12,0.40,9,13,9,8,0.53,F20,3
F20_21,2,18,8,13,0.38,4,14,8,14,0.36,F20,9
F20_27,9,11,8,12,0.40,10,10,8,12,0.40,F20,19
F20_29,9,11,8,12,0.40,10,10,8,12,0.40,F20,21
F20_31,9,10,8,13,0.38,8,7,9,16,0.36,F20,17
F20_33,4,21,1,15,0.06,7,18,2,13,0.13,F20,16
F20_35,2,18,4,16,0.20,4,16,15,5,0.75,F20,18
F20_43,0,19,8,13,0.38,8,13,10,9,0.53,F20,11
F20_45,0,16,8,16,0.33,2,17,2,19,0.10,F20,10
F20_47,1,19,5,15,0.25,4,16,6,14,0.30,F20,20
F20_49,3,23,0,15,0.00,1,22,0,17,0.00,F20,14
F20_51,0,18,0,20,0.00,8,8,11,13,0.46,F20,4
F20_59,1,13,8,17,0.32,3,17,8,13,0.38,F20,24
F20_61,2,21,1,18,0.05,0,16,5,18,0.22,F20,22
F20_63,4,18,9,9,0.50,0,18,9,13,0.41,F20,35
F20_65,4,18,5,13,0.28,6,14,7,13,0.35,F20,26
F20_67,0,16,3,21,0.13,12,8,11,7,0.61,F20,25
F20_69,1,20,2,18,0.10,8,12,6,13,0.32,F20,23
F20_75,10,11,7,12,0.37,3,19,6,12,0.33,F20,28
F20_77,2,22,4,12,0.25,0,18,9,13,0.41,F20,37
F20_79,0,17,11,12,0.48,6,12,7,15,0.32,F20,31
F20_81,0,20,3,17,0.15,1,19,5,15,0.25,F20,27
F20_83,0,17,8,15,0.35,1,11,19,9,0.68,F20,32
F20_85,0,19,0,21,0.00,0,16,0,24,0.00,F20,30
F20_91,4,16,5,15,0.25,0,18,0,22,0.00,F20,39
F20_93,0,12,11,17,0.39,0,16,11,13,0.46,F20,276
F20_95,1,20,5,14,0.26,0,19,2,19,0.10,F20,33
F20_99,0,20,0,20,0.00,8,12,11,9,0.55,F20,40
F20_101,2,17,9,13,0.41,7,12,7,14,0.33,F20,36
F20_103,1,19,4,16,0.20,0,16,20,4,0.83,F20,34
F20_105,0,16,0,24,0.00,1,17,0,22,0.00,F20,38
F20_107,0,17,0,20,0.00,0,22,0,18,0.00,F20,42
F20_109,0,19,0,21,0.00,0,16,7,17,0.29,F20,47
F20_111,0,18,7,15,0.32,0,17,7,16,0.30,F20,54
F20_113,0,9,18,13,0.58,1,8,20,9,0.69,F20,44
F20_115,9,7,12,12,0.50,10,11,8,11,0.42,F20,41
F20_117,0,20,4,16,0.20,1,17,4,18,0.18,F20,43
F20_123,8,10,10,12,0.45,8,10,9,13,0.41,F20,52
F20_125,0,19,0,21,0.00,0,16,7,17,0.29,F20,60
F20_127,1,19,3,17,0.15,6,14,7,13,0.35,F20,56
F20_129,0,18,0,22,0.00,0,21,1,18,0.05,F20,51
F20_131,0,16,3,21,0.13,7,12,12,9,0.57,F20,59
F20_135,1,21,1,17,0.06,0,20,20,0,1.00,F20,61
F20_139,6,12,7,15,0.32,0,19,0,21,0.00,F20,57
F20_141,0,21,2,17,0.11,0,20,2,18,0.10,F20,48
F20_143,4,14,6,16,0.27,2,16,6,16,0.27,F20,46
F20_145,0,23,0,17,0.00,1,22,0,17,0.00,F20,55
F20_147,4,16,6,14,0.30,2,16,6,16,0.27,F20,50
F20_149,7,12,8,13,0.38,4,18,6,12,0.33,F20,49
F20_151,0,15,7,18,0.28,0,20,20,0,1.00,F20,62
F20_155,0,20,0,20,0.00,0,17,0,23,0.00,F20,64
F20_157,0,20,8,12,0.40,0,20,8,12,0.40,F20,69
F20_159,2,20,5,13,0.28,2,20,4,14,0.22,F20,66
F20_161,1,22,3,14,0.18,1,20,6,13,0.32,F20,65
F20_163,3,15,6,16,0.27,8,11,12,9,0.57,F20,70
F20_165,0,9,2,29,0.06,4,13,9,14,0.39,F20,67
F20_167,4,16,9,11,0.45,0,20,20,0,1.00,F20,68
F20_171,3,18,8,11,0.42,2,17,7,15,0.32,F20,75
F20_173,0,18,8,14,0.36,0,16,8,16,0.33,F20,77
F20_175,1,19,3,17,0.15,1,20,5,14,0.26,F20,79
F20_177,4,16,5,15,0.25,4,15,7,14,0.33,F20,71
F20_179,0,20,2,18,0.10,8,12,12,8,0.60,F20,72
F20_181,0,18,8,14,0.36,0,20,6,14,0.30,F20,80
F20_187,4,15,6,15,0.29,2,17,8,13,0.38,F20,81
F20_189,2,9,6,21,0.22,3,7,8,24,0.25,F20,76
F20_191,1,21,0,18,0.00,0,22,0,18,0.00,F20,74
F20_193,0,20,0,20,0.00,1,17,3,11,0.21,F20,82
F20_195,3,17,5,14,0.26,2,10,20,8,0.71,F20,73
F20_197,7,15,4,14,0.22,6,12,8,14,0.36,F20,78
F20_203,0,20,3,14,0.18,3,19,2,13,0.13,F20,85
F20_205,2,15,2,20,0.09,1,12,6,20,0.23,F20,86
F20_207,0,18,6,16,0.27,0,20,2,18,0.10,F20,90
F20_209,0,20,4,16,0.20,2,18,9,11,0.45,F20,88
F20_211,0,16,0,20,0.00,7,14,11,7,0.61,F20,84
F20_213,0,19,0,22,0.00,0,16,0,24,0.00,F20,87
F20_215,0,21,6,13,0.32,0,20,20,0,1.00,F20,101
F20_219,0,16,6,19,0.24,0,19,9,13,0.41,F20,100
F20_221,1,16,8,16,0.33,0,16,9,15,0.38,F20,94
F20_223,1,18,9,11,0.45,3,17,6,13,0.32,F20,95
F20_225,1,19,4,16,0.20,1,18,5,16,0.24,F20,96
F20_227,3,11,11,15,0.42,0,5,21,14,0.60,F20,97
F20_229,0,20,9,12,0.43,1,18,6,14,0.30,F20,103
F20_235,5,16,7,12,0.37,0,19,8,14,0.36,F20,92
F20_237,0,18,0,23,0.00,1,15,5,19,0.21,F20,93
F20_239,5,8,10,16,0.38,1,18,1,20,0.05,F20,91
F20_241,5,7,12,15,0.44,0,13,1,23,0.04,F20,98
F20_243,3,16,8,12,0.40,9,10,7,14,0.33,F20,89
F20_245,0,17,0,24,0.00,0,16,6,16,0.27,F20,102
F20_251,0,20,0,20,0.00,0,22,0,18,0.00,F20,106
F20_253,1,18,7,14,0.33,0,19,5,16,0.24,F20,115
F20_255,1,20,7,11,0.39,0,18,4,18,0.18,F20,112
F20_257,8,12,7,13,0.35,8,12,11,9,0.55,F20,118
F20_259,0,21,4,15,0.21,8,13,11,8,0.58,F20,105
F20_261,0,19,0,21,0.00,0,16,0,22,0.00,F20,104
F20_263,1,20,8,11,0.42,0,16,20,4,0.83,F20,122
F20_267,0,20,2,18,0.10,0,19,4,17,0.19,F20,110
F20_269,0,21,0,20,0.00,0,16,10,13,0.43,F20,116
F20_271,2,20,7,11,0.39,3,17,6,14,0.30,F20,165
F20_275,0,16,12,12,0.50,9,11,11,8,0.58,F20,109
F20_277,0,22,7,12,0.37,6,15,3,15,0.17,F20,108
F20_279,1,17,1,21,0.05,2,16,18,4,0.82,F20,107
F20_283,6,16,5,13,0.28,5,15,9,12,0.43,F20,111
F20_285,5,17,6,13,0.32,5,15,4,16,0.20,F20,121
F20_287,2,20,9,9,0.50,0,19,5,16,0.24,F20,113
F20_289,3,14,1,21,0.05,8,14,8,10,0.44,F20,119
F20_291,0,19,0,21,0.00,13,6,8,13,0.38,F20,114
F20_293,3,19,8,11,0.42,3,16,7,13,0.35,F20,120
F20_299,0,16,0,24,0.00,0,18,0,22,0.00,F20,131
F20_301,0,17,1,22,0.04,0,17,1,22,0.04,F20,125
F20_303,18,2,11,9,0.55,20,1,6,13,0.32,F20,126
F20_305,3,19,5,13,0.28,2,19,8,11,0.42,F20,127
F20_307,0,20,8,12,0.40,10,10,12,8,0.60,F20,130
F20_309,0,17,9,14,0.39,0,16,8,16,0.33,F20,123
F20_311,8,15,9,8,0.53,0,20,20,0,1.00,F20,128
F20_315,0,16,0,24,0.00,0,19,0,21,0.00,F20,140
F20_317,0,20,8,12,0.40,0,20,8,12,0.40,F20,142
F20_319,1,18,6,15,0.29,0,17,4,19,0.17,F20,135
F20_321,0,18,10,13,0.43,4,17,4,15,0.21,F20,145
F20_323,3,15,8,14,0.36,7,10,14,9,0.61,F20,133
F20_325,0,20,7,13,0.35,0,20,7,13,0.35,F20,139
F20_327,2,17,10,11,0.48,2,16,22,0,1.00,F20,143
F20_329,4,17,5,13,0.28,3,18,9,9,0.50,F20,146
F20_331,5,15,7,13,0.35,0,19,0,22,0.00,F20,319
F20_333,1,20,7,12,0.37,1,17,11,11,0.50,F20,132
F20_337,0,20,7,13,0.35,1,19,10,10,0.50,F20,144
F20_339,0,20,8,12,0.40,12,8,9,11,0.45,F20,136
F20_341,0,22,0,19,0.00,0,21,0,20,0.00,F20,138
F20_347,0,15,0,25,0.00,0,17,0,24,0.00,F20,148
F20_349,0,17,0,21,0.00,0,14,0,26,0.00,F20,152
F20_351,0,18,4,17,0.19,0,15,4,21,0.16,F20,149
F20_353,4,18,4,13,0.24,1,20,11,8,0.58,F20,150
F20_355,0,18,1,21,0.05,9,12,10,9,0.53,F20,151
F20_357,0,17,0,24,0.00,0,16,0,24,0.00,F20,147
F20_363,0,14,0,26,0.00,0,17,4,19,0.17,F20,159
F20_365,0,22,6,13,0.32,0,20,4,15,0.21,F20,158
F20_367,12,8,9,11,0.45,3,14,7,15,0.32,F20,163
F20_369,13,7,8,12,0.40,11,14,4,11,0.27,F20,155
F20_371,2,12,4,22,0.15,11,10,11,8,0.58,F20,154
F20_373,0,19,0,21,0.00,0,18,0,22,0.00,F20,153
F20_379,0,20,1,19,0.05,2,17,7,13,0.35,F20,164
F20_381,0,19,7,14,0.33,0,12,8,20,0.29,F20,162
F20_383,3,17,9,11,0.45,7,14,6,13,0.32,F20,160
F20_385,4,17,5,14,0.26,0,19,12,9,0.57,F20,157
F20_389,2,18,1,19,0.05,2,20,1,17,0.06,F20,156
F20_395,3,17,8,12,0.40,1,18,7,11,0.39,F20,177
F20_397,3,17,7,13,0.35,0,15,12,13,0.48,F20,169
F20_399,1,20,0,19,0.00,0,23,5,12,0.29,F20,175
F20_401,2,18,2,18,0.10,3,17,4,16,0.20,F20,181
F20_403,0,18,0,22,0.00,8,13,11,8,0.58,F20,172
F20_405,3,17,8,12,0.40,4,16,6,14,0.30,F20,178
F20_407,1,19,1,19,0.05,2,16,19,3,0.86,F20,168
F20_411,0,14,0,26,0.00,0,17,0,24,0.00,F20,189
F20_413,0,19,4,18,0.18,0,17,0,23,0.00,F20,188
F20_415,1,20,0,19,0.00,0,24,0,16,0.00,F20,190
F20_417,0,19,0,21,0.00,1,20,0,19,0.00,F20,187
F20_419,0,15,7,18,0.28,8,13,11,8,0.58,F20,185
F20_421,0,17,8,16,0.33,0,15,10,14,0.42,F20,182
F20_423,0,21,6,13,0.32,0,20,20,0,1.00,F20,180
F20_425,0,20,2,16,0.11,1,19,0,19,0.00,F20,183
F20_427,0,17,0,23,0.00,0,18,0,22,0.00,F20,173
F20_429,0,9,9,11,0.45,3,17,6,14,0.30,F20,171
F20_431,1,18,3,18,0.14,4,22,1,14,0.07,F20,166
F20_432,0,21,6,13,0.32,0,20,20,0,1.00,F20,176
F20_433,0,21,2,17,0.11,1,18,7,14,0.33,F20,167
F20_435,0,20,7,13,0.35,9,12,11,8,0.58,F20,174
F20_437,0,17,11,13,0.46,0,14,12,14,0.46,F20,179
F20_439,1,20,0,21,0.00,0,15,19,5,0.79,F20,170
F20_443,1,19,6,14,0.30,0,21,8,12,0.40,F20,196
F20_445,4,17,8,11,0.42,6,14,8,12,0.40,F20,195
F20_447,3,19,9,9,0.50,0,13,6,21,0.22,F20,194
F20_449,0,21,0,18,0.00,1,20,4,15,0.21,F20,197
F20_451,0,20,0,20,0.00,8,13,11,8,0.58,F20,193
F20_453,1,18,2,20,0.09,0,16,6,18,0.25,F20,191
F20_455,0,15,6,15,0.29,0,20,20,0,1.00,F20,192
F20_459,0,19,0,21,0.00,0,19,0,21,0.00,F20,203
F20_461,0,20,9,11,0.45,0,16,2,22,0.08,F20,198
F20_463,0,16,5,18,0.22,2,19,5,13,0.28,F20,210
F20_465,2,22,4,13,0.24,1,21,10,8,0.56,F20,199
F20_467,3,14,8,15,0.35,7,13,12,8,0.60,F20,218
F20_469,6,11,9,16,0.36,9,9,12,13,0.48,F20,205
F20_475,8,15,4,13,0.24,4,19,6,13,0.32,F20,217
F20_477,0,18,8,14,0.36,0,16,10,14,0.42,F20,208
F20_479,4,20,6,11,0.35,6,14,7,13,0.35,F20,220
F20_481,0,22,4,14,0.22,3,17,5,15,0.25,F20,221
F20_483,8,16,3,13,0.19,10,11,11,8,0.58,F20,222
F20_485,9,18,11,12,0.48,0,16,11,13,0.46,F20,219
F20_491,8,4,10,18,0.36,7,11,9,13,0.41,F20,225
F20_493,0,18,0,22,0.00,0,17,0,23,0.00,F20,228
F20_495,3,21,5,11,0.31,2,19,4,15,0.21,F20,229
F20_497,5,12,7,16,0.30,4,13,8,15,0.35,F20,226
F20_499,4,15,8,13,0.38,10,11,10,8,0.56,F20,224
F20_501,0,21,0,19,0.00,0,17,0,23,0.00,F20,230
F20_503,10,10,10,10,0.50,7,13,19,1,0.95,F20,227
F20_507,0,16,0,24,0.00,0,22,6,13,0.32,F20,253
F20_509,0,18,9,13,0.41,1,17,10,12,0.45,F20,231
F20_511,0,17,11,12,0.48,0,15,9,13,0.41,F20,235
F20_513,0,17,4,19,0.17,0,18,7,15,0.32,F20,240
F20_515,3,17,4,16,0.20,0,13,20,7,0.74,F20,246
F20_517,0,22,8,10,0.44,0,20,8,12,0.40,F20,255
F20_519,1,20,4,15,0.21,0,20,20,0,1.00,F20,323
F20_521,0,19,6,15,0.29,7,12,8,13,0.38,F20,239
F20_523,0,23,0,17,0.00,0,18,0,22,0.00,F20,254
F20_525,0,20,0,20,0.00,0,20,0,20,0.00,F20,324
F20_527,13,8,4,15,0.21,13,9,5,13,0.28,F20,243
F20_529,0,20,0,21,0.00,0,20,0,20,0.00,F20,238
F20_531,2,11,11,16,0.41,7,10,15,9,0.63,F20,245
F20_533,0,22,6,13,0.32,4,17,7,14,0.33,F20,249
F20_535,1,18,10,10,0.50,0,20,20,0,1.00,F20,250
F20_539,0,7,6,27,0.18,0,8,9,23,0.28,F20,257
F20_541,0,18,0,22,0.00,0,19,0,21,0.00,F20,275
F20_543,1,21,9,9,0.50,3,22,2,13,0.13,F20,277
F20_545,0,15,2,23,0.08,1,16,6,17,0.26,F20,267
F20_547,4,16,9,12,0.43,9,11,11,7,0.61,F20,258
F20_549,0,19,9,12,0.43,0,16,11,13,0.46,F20,278
F20_555,4,16,5,15,0.25,0,17,10,13,0.43,F20,264
F20_557,1,16,2,21,0.09,1,14,7,18,0.28,F20,271
F20_559,1,18,1,19,0.05,0,20,5,15,0.25,F20,272
F20_561,0,23,2,15,0.12,1,21,4,14,0.22,F20,274
F20_563,0,21,4,15,0.21,8,13,11,8,0.58,F20,268
F20_565,12,14,5,11,0.31,8,16,4,12,0.25,F20,273
F20_571,2,18,5,15,0.25,0,21,5,14,0.26,F20,262
F20_573,0,19,1,23,0.04,0,21,1,18,0.05,F20,261
F20_575,2,18,8,12,0.40,0,16,9,15,0.38,F20,260
F20_577,0,22,0,18,0.00,0,21,7,12,0.37,F20,270
F20_579,0,17,9,14,0.39,7,13,12,8,0.60,F20,256
F20_581,0,13,9,14,0.39,0,16,6,19,0.24,F20,266
F20_587,4,16,7,13,0.35,0,21,2,17,0.11,F20,288
F20_589,10,9,9,12,0.43,7,7,11,15,0.42,F20,291
F20_593,0,18,3,19,0.14,1,17,8,13,0.38,F20,283
F20_595,4,16,8,12,0.40,12,9,11,8,0.58,F20,281
F20_597,0,16,7,18,0.28,0,14,9,17,0.35,F20,279
F20_599,2,14,10,10,0.50,0,19,21,0,1.00,F20,286
F20_603,3,10,3,24,0.11,2,15,7,16,0.30,F20,293
F20_605,0,22,0,18,0.00,0,21,0,19,0.00,F20,284
F20_607,0,9,9,22,0.29,0,19,3,18,0.14,F20,289
F20_609,4,17,5,13,0.28,2,19,5,14,0.26,F20,285
F20_611,4,16,7,13,0.35,6,14,5,15,0.25,F20,292
F20_613,3,18,7,12,0.37,4,17,7,11,0.39,F20,280
F20_615,4,17,9,10,0.47,0,20,20,0,1.00,F20,282
F20_619,3,13,10,14,0.42,0,17,10,13,0.43,F20,326
F20_621,0,20,0,20,0.00,0,20,0,20,0.00,F20,314
F20_623,4,18,9,9,0.50,6,17,5,12,0.29,F20,306
F20_625,0,20,4,16,0.20,2,18,6,14,0.30,F20,316
F20_627,4,15,9,12,0.43,10,11,11,8,0.58,F20,307
F20_629,2,18,8,12,0.40,0,20,3,17,0.15,F20,325
F20_631,1,21,9,9,0.50,1,18,20,0,1.00,F20,318
F20_635,10,10,6,14,0.30,9,11,7,13,0.35,F20,299
F20_637,0,19,0,21,0.00,0,17,0,23,0.00,F20,302
F20_639,14,8,7,11,0.39,7,16,5,12,0.29,F20,317
F20_641,3,13,5,17,0.23,2,15,5,13,0.28,F20,296
F20_643,0,17,4,15,0.21,6,12,11,10,0.52,F20,297
F20_645,0,22,0,18,0.00,0,21,0,19,0.00,F20,298
F20_647,2,19,5,14,0.26,0,9,20,11,0.65,F20,303
F20_00000001,14,8,7,11,0.39,7,16,5,12,0.29,F20,
F20_00000002,3,13,5,17,0.23,2,15,5,13,0.28,F20,
F20_00000003,0,17,4,15,0.21,6,12,11,10,0.52,F20,
F20_00000004,0,22,0,18,0.00,0,21,0,19,0.00,F20,
S21_14,0,15,0,25,0.00,0,18,0,22,0.00,S21,
S21_24,0,16,0,24,0.00,0,23,0,17,0.00,S21,
S21_12,0,20,0,20,0.00,0,21,0,19,0.00,S21,
S21_16,0,16,0,24,0.00,0,15,0,25,0.00,S21,
S21_18,0,18,0,22,0.00,0,18,0,22,0.00,S21,
S21_22,0,18,0,22,0.00,0,19,0,21,0.00,S21,
S21_20,0,21,0,19,0.00,0,21,0,19,0.00,S21,
S21_32,0,18,0,22,0.00,0,23,0,17,0.00,S21,
S21_46,0,20,0,20,0.00,1,21,0,18,0.00,S21,
S21_38,0,19,0,21,0.00,0,24,0,16,0.00,S21,
S21_40,0,21,0,19,0.00,0,21,0,19,0.00,S21,
S21_42,0,20,0,20,0.00,0,19,0,21,0.00,S21,
S21_48,0,25,0,15,0.00,0,21,0,19,0.00,S21,
S21_44,0,19,0,21,0.00,0,22,0,18,0.00,S21,
S21_28,0,20,0,20,0.00,0,18,0,22,0.00,S21,
S21_26,0,20,0,20,0.00,0,20,0,20,0.00,S21,
S21_30,1,18,0,21,0.00,0,17,0,23,0.00,S21,
S21_36,0,20,0,20,0.00,0,20,0,20,0.00,S21,
S21_34,0,20,0,20,0.00,0,20,0,20,0.00,S21,
S21_68,11,8,10,4,0.71,11,9,11,10,0.52,S21,
S21_60,0,22,0,18,0.00,0,19,0,21,0.00,S21,
S21_58,0,20,0,20,0.00,0,20,0,20,0.00,S21,
S21_54,0,21,0,19,0.00,0,20,0,20,0.00,S21,
S21_62,0,25,0,15,0.00,0,17,0,23,0.00,S21,
S21_66,0,18,0,22,0.00,0,19,0,21,0.00,S21,
S21_56,1,22,0,17,0.00,0,21,0,19,0.00,S21,
S21_76,0,20,0,20,0.00,0,20,0,20,0.00,S21,
S21_80,0,19,0,21,0.00,0,20,0,20,0.00,S21,
S21_74,0,20,0,20,0.00,0,20,0,20,0.00,S21,
S21_78,0,20,0,20,0.00,0,20,0,20,0.00,S21,
S21_64,0,20,0,20,0.00,0,20,0,20,0.00,S21,
S21_88,0,16,0,24,0.00,0,19,0,21,0.00,S21,
S21_72,0,20,0,20,0.00,0,20,0,20,0.00,S21,
S21_94,0,21,0,19,0.00,0,21,0,19,0.00,S21,
S21_82,0,20,0,20,0.00,0,20,0,20,0.00,S21,
S21_84,0,15,0,25,0.00,0,15,0,25,0.00,S21,
S21_90,0,20,0,20,0.00,0,20,0,20,0.00,S21,
S21_92,0,20,0,20,0.00,0,18,0,22,0.00,S21,
S21_102,0,17,0,23,0.00,0,18,0,22,0.00,S21,
S21_100,0,20,0,20,0.00,0,21,0,19,0.00,S21,
S21_98,0,17,0,23,0.00,0,17,0,23,0.00,S21,
S21_96,0,19,0,21,0.00,0,17,0,23,0.00,S21,
S21_108,0,20,0,20,0.00,0,20,0,20,0.00,S21,
S21_104,0,20,0,20,0.00,0,20,0,20,0.00,S21,
S21_106,0,20,0,20,0.00,0,20,0,20,0.00,S21,
S21_122,0,17,0,23,0.00,0,22,0,18,0.00,S21,
S21_118,0,17,0,23,0.00,0,21,0,19,0.00,S21,
S21_112,0,19,0,21,0.00,0,19,0,21,0.00,S21,
S21_114,0,21,0,19,0.00,0,21,0,19,0.00,S21,
S21_120,0,23,0,17,0.00,0,22,0,18,0.00,S21,
S21_132,0,16,0,24,0.00,0,19,0,21,0.00,S21,
S21_124,0,18,0,22,0.00,0,21,0,19,0.00,S21,
S21_126,0,19,0,21,0.00,0,19,0,21,0.00,S21,
S21_128,0,20,0,20,0.00,0,20,0,20,0.00,S21,
S21_110,0,16,0,24,0.00,0,17,0,23,0.00,S21,
S21_130,0,16,0,24,0.00,0,19,0,21,0.00,S21,
S21_134,0,18,0,22,0.00,0,17,0,23,0.00,S21,
S21_146,0,20,0,20,0.00,0,22,0,18,0.00,S21,
S21_140,0,19,0,21,0.00,0,19,0,21,0.00,S21,
S21_142,0,21,0,19,0.00,0,21,0,19,0.00,S21,
S21_144,0,21,0,19,0.00,0,22,0,18,0.00,S21,
S21_138,0,13,0,27,0.00,0,21,0,19,0.00,S21,
S21_174,0,20,0,20,0.00,0,20,0,20,0.00,S21,
S21_156,0,20,0,20,0.00,0,20,0,20,0.00,S21,
