name,short,admin,long,lat,ebird_hotspot
Andelo Meadow WS,Andelo,CZN,-123.645721,39.730104,N
Angelo Coast Range Reserve,Angelo,UC,-123.6319444,39.74055556,Y
Ano Nuevo Island Reserve,Ano Nuevo,UC,-122.3366667,37.10833333,Y
Ash Creek Wildlife Area,Ash Creek,CDFW,-121.0793502,41.17685899,Y
Biscar Wildlife Area,Biscar,CDFW,-120.2901002,40.53996927,Y
Blue Oak Rang Reserve,Blue Oak,UC,-121.737281,37.381617,Y
Bodega Marine Reserve,Bodega,UC,-123.071744,38.317037,Y
Box Springs Reserve,Box Springs,UC,-117.3002778,33.97138889,N
Boyd Deep Canyon Desert Research Center,Boyd,UC,-116.3766667,33.64805556,Y
Burns Pinon Ridge Reserve,Burns,UC,-116.4541667,34.14916667,Y
Burton Mesa Ecological Reserve,Burton Mesa,CDFW,-120.41006,34.70879,Y
Cahto Peak WS,Cahto,CZN,-123.581911,39.686105,N
Camp Cady Wildlife Area,Camp Cady,CDFW,-116.6187795,34.93586591,Y
Canada de San Vicente Ecological Reserve,Canada de San Vicente,CDFW,-116.866604,32.9852699,N
Canebrake Ecological Reserve,Canebrake,CDFW,-118.1871367,35.70627327,Y
Carpinteria Salt Marsh,CSMR,UC,-119.5347,34.400705,Y
Carrizo Plains Ecological Reserve,Carrizo Plains,CDFW,-119.9568987,35.1501789,N
Chickering American River Reserve,Chickering,UC,-120.3002778,39.23527778,N
Cienega Springs Ecological Reserve,Cienega Springs,CDFW,-118.88921,34.39177,Y
Coal Oil Point Natural Reserve,COPR,UC,-119.879208,34.4088777,Y
Cosumnes River Ecological Reserve,Cosumnes,CDFW,-121.3521238,38.32443984,N
Dangermond Preserve,Dangermond,TNC,-120.4127499,34.54519757,Y
Dawson Los Monos Canyon Reserve,Dawson,UC,-117.2486111,33.14861111,N
Elkhorn Slough NERR,Elkhorn,CDFW,-121.742222,36.815556,Y
Elliott Chaparral Reserve,Elliott,UC,-117.0863889,32.88555556,N
Emerson Oaks Reserve,Emerson Oaks,UC,-117.3472222,33.46611111,Y
Fish Slough Ecological Reserve,Fish Slough,CDFW,-118.4007089,37.45473561,Y
Fort Ord Natural Reserve,Fort Ord,UC,-121.7802778,36.68194444,N
Hallelujah Junction Wildlife Area,Hallelujah,CDFW,-120.02268,39.69254,Y
Hastings Natural History Reservation,Hastings,UC,-121.549903,36.387305,Y
Imperial Wildlife Area,Imperial,CDFW,-115.57808,33.28127,Y
James San Jacinto Mountains Reserve,James,UC,-116.7752778,33.80916667,Y
Jenny Pygmy Forest Reserve,Jenny Pygmy,UC,-123.765,39.2875,Y
Jepson Prairie Reserve,Jepson,UC,-121.8238889,38.27527778,Y
Kendall-Frost Misson Bay Marsh Reserve,Kendall-Frost,UC,-117.2288889,32.79416667,Y
Kenneth S Norris Rancho Marino Reserve,Rancho,UC,-121.0907333,35.5404805,Y
Lake Earl Wildlife Area,Lake Earl,CDFW,-124.1982416,41.82394317,Y
Landels-Hill Big Creek Reserve,Big Creek,UC,-121.599155,36.07142,Y
Lassen Field Station,Lassen,UC,-121.608041,40.346656,Y
Lokern Ecological Reserve,Lokern,CDFW,-119.5496252,35.40295922,N
Los Banos Wildlife Area,Los Banos,CDFW,-120.7975652,37.14050253,Y
McClellan Mountain ,McClellan,CDFW,-123.7541916,40.6928184,N
McLaughlin Natural Reserve,McLaughlin,UC,-122.4316667,38.87388889,N
Merced Vernal Pools and Grassland Reserve,Vernal Pools,UC,-120.4133333,37.37527778,Y
Motte Rimrock Reserve,Rimrock,UC,-117.26,33.80361111,Y
Napa-Sonoma Marshes Wildlife Area ,Napa-Sonoma,CDFW,-122.3536111,38.21690564,Y
Pepperwood Preserve,Pepperwood,Pepperwood Foundation,-122.689553,38.569759,Y
Pickel Meadow Wildlife Area,Pickel Meadow,CDFW,-119.5297272,38.34413606,Y
Point Reyes Field Station,Point Reyes,UC,-122.7033333,37.99666667,Y
Quail Ridge Reserve,Quail Ridge,UC,-122.1494444,38.48277778,Y
Rancho Jamul Ecological Reserve,Rancho Jamul,CDFW,-116.8563083,32.67692824,N
Rancho Venada WS,Ranco Venada,CZN,-122.347558,39.153023,N
Rivendell WS,Rivendell,CZN,-123.644007,39.728736,N
Sagehen Creek Field Station,Sagehen,UC,-120.2405556,39.43166667,Y
Sagehorn Ranch WS,Sagehorn,CZN,-122.471683,39.56851,N
San Elijo Lagoon Ecological Reserve,San Elijo,CDFW,-117.2526977,33.01304274,Y
San Felipe Creek Ecological Reserve,San Felipe Creek,CDFW,-115.91656,33.09176,N
San Felipe Valley Wildlife Area,San Felipe Valley,CDFW,-116.524765,33.11256026,Y
San Joaquin Marsh Reserve,San Joaquin,UC,-117.8536111,33.66166667,N
Santa Cruz Island Reserve,SCIR,UC,-119.7261417,33.99690278,Y
Scripps Coastal Reserve,Scripps,UC,-117.2541667,32.86694444,Y
Sedgwick Reserve,Sedgwick,UC,-120.0406333,34.6928,Y
Shasta Valley Wildlife Area,Shasta,CDFW,-122.5017777,41.71851765,Y
Sierra Foothill Research and Extension center,Sierra Foothill,UC,-121.313628,39.251267,Y
Sierra Nevada Aquatic Research Laboratory,SNARL,UC,-118.8325944,37.61404444,N
South Meadow WS,South Meadow,CZN,-123.630833,39.739167,N
Stebbins Cold Canyon Reserve,Stebbins,UC,-122.0969444,38.5075,Y
Steele/Burnand Anza Borrego Desert Research Center,Anza Borrego,UC,-116.3888889,33.24027778,Y
Stunt Ranch Santa Monica Mountains Reserve,Stunt Ranch,UC,-118.6566667,34.09388889,Y
Sweeney Granite Mountains Desert Research Center,Granite Mt,UC,-115.6536111,34.78138889,Y
Sycuan Peak Ecological Reserve,Sycuan Peak,CDFW,-116.8148141,32.75370831,N
Upper Butte Basin Wildlife Area,Upper Butte,CDFW,-121.8753331,39.3988734,Y
Upper Newport Bay Ecological Reserve,Newport Bay,CDFW,-117.891978,33.62067763,Y
Valentine Camp,Valentine,UC,-118.999782,37.6294666,Y
Volcan Mountain Wildlife Area,Voccan Mt,CDFW,-116.6042056,33.147336,Y
Watsonville Slough Ecological Reserve,Watsonville,CDFW,-121.7879741,36.91053641,Y
West Mojave Desert Ecological Reserve,Mojave,CDFW,-117.4490002,35.06500438,N
White Mountain Research Center,White Mt,UC,-118.3266667,37.36138889,Y
Yosemite Field Station,Yosemite,UC,-119.6580556,37.53972222,Y
Younger Lagoon Reserve,Younger,UC,-122.0658333,36.95083333,Y